멸죄, 죄멸
멸치회, 회멸
명건축, 축윤명
명견, 견명
명결, 결명
명과학, 학과명
명관객, 객체명
명광회, 회명
명교, 교명
명궁, 궁명
명답변, 변명
명덕, 덕명
명란죽, 죽술연명
명령식, 식당명
명령적, 적명
명령표창, 창명
명령행, 행방불명
명령형, 형명
명륜록, 록록무명
명명, 명석판명
명명식, 식별명
명목적, 적색혁명
명묘, 묘갈명
명문교, 교수치명
명반응, 응명
명변, 변성명
명불허득, 득명
명빈묘, 묘명
명사록, 록명
명사회, 회사명
명상록, 록색혁명
명석판명, 명명
명세표, 표명
명수급, 급명
명숙, 숙명
명식, 식재연명
명연극, 극공명
명연출, 출판사명
명완, 완명
명운, 운명
명월, 월명
명윤, 윤명
명자순, 순명
명작극, 극명
명재경각, 각명
명점, 점명
명정기죄, 죄명
명정언순, 순천명
명주솜, 솜무명
명증, 증명
명지적견, 견위치명
명창, 창씨개명
명창정궤, 궤명
명책, 책명
명치통, 통명
명칭, 칭명
명탁, 탁고기명
명태식혜, 혜명
명태튀김, 김덕명
명태회, 회색혁명
명편, 편명
명학, 학교명
명행, 행사명
명향, 향명
명현, 현명
명확, 확장명
명효, 효명
명훈, 훈명
명희, 희명
몽고반점, 점몽
몽몽, 몽중몽
몽중몽, 몽몽
묘갈명, 명묘
묘교, 교묘
묘구도적, 적묘
묘궁, 궁묘
묘근, 근분묘
묘두와, 와묘
묘명, 명빈묘
묘사전궁, 궁서설묘
묘좌유향, 향비묘
묘청, 청묘
묘표, 표묘
묘행, 행운유수묘
묘현, 현묘
묘호류견, 견묘
밑창, 창밑
벨똥벨, 벨벨
벨벨, 벨똥벨
벨생각, 각벨
벽개면, 면벽
벽걸이형, 형벽
벽견, 견벽
벽교, 교벽
벽궁, 궁벽
벽널, 널벽
벽사창, 창문벽
벽식, 식미벽
벽운, 운벽
벽위편, 편벽
벽인향, 향벽
벽적, 적벽
벽창, 창자벽
벽청, 청벽
벽혈, 혈벽
변격, 격변
변견, 견고해변
변경식, 식변
변경적, 적변
변곡점, 점액변
변교, 교변
